seal_id,goaf_id,coal_seam,seal_number,seal_name,location,purpose,construction_date,construction_unit,structure,groove_depth,status,acceptance_status,remarks
HX001-SEAL001,,"4-2,4-3",1,￥606￥盘区1#密闭,一水平主井4-2进风联巷,封闭￥606￥盘区观测4-2、4-3大巷煤柱采空区自然发火情况,￥18￥年￥53￥月,,￥596￥mm砌块墙,,处于观测使用状态,合格,通过管路连接4-3、4-2大巷煤柱观测孔
HX001-SEAL002,,5-2,2,5-2煤西翼回风大,5-2煤西翼回风大巷,观测5-2煤北翼封闭巷道自然发火情况,￥125￥年￥29￥月,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土,,处于观测使用状态,合格,
HX001-SEAL003,HX001-G024,5-2,148,￥26￥运输巷4#,5-2煤层,封闭￥16￥采空区,￥17￥年￥21￥月￥148￥日,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土,,处于观测使用状态,合格,
HX001-SEAL004,HX001-G024,5-2,132,￥26￥运输巷3#,5-2煤层,封闭￥16￥采空区,￥17￥年￥21￥月￥148￥日,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土,,处于观测使用状态,合格,
HX001-SEAL005,HX001-G024,5-2,142,￥26￥运输巷2#,5-2煤层,观测￥16￥封闭巷道自然发火情况,￥17￥年￥21￥月￥148￥日,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土,,处于观测使用状态,合格,
HX001-SEAL006,HX001-G024,5-2,29,￥26￥运输巷1#,5-2煤层,封闭￥16￥采空区,￥17￥年￥21￥月￥4￥日,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土,,处于观测使用状态,合格,
HX001-SEAL007,HX001-G024,5-2,32,￥26￥运输巷1#,5-2煤层,观测￥16￥封闭巷道自然发火情况,￥17￥年￥21￥月￥148￥日,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土,,处于观测使用状态,合格,
HX001-SEAL008,HX001-G022,5-2,86,￥1￥运输巷4#联巷,5-2煤层,封闭￥26￥房采区,￥18￥年￥4￥月￥9￥日,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土,,处于观测使用状态,合格,￥137￥.￥21￥巷道临时封闭，束管接引至￥1￥皮带运输巷口闭墙
HX001-SEAL009,HX001-G022,5-2,78,￥1￥运输巷末端,5-2煤层,封闭￥26￥房采区,￥17￥年￥53￥月￥85￥日,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土+￥596￥mm红砖墙+￥596￥mm混凝土,,现处于正常观测状态,合格,
HX001-SEAL010,HX001-G025,5-2,134,￥496￥运输巷1#联巷,5-2煤层,隔断￥2￥运输巷与￥496￥运输巷,￥137￥.￥142￥,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土(￥147￥.20)+￥607￥mm砌块+￥595￥mm红砖(￥137￥.13),,正常观测,合格,于￥137￥.￥142￥闭墙加固后正常观测
HX001-SEAL011,HX001-G025,5-2,133,￥496￥运输巷2#联巷,5-2煤层,隔断￥2￥运输巷与￥496￥运输巷,￥137￥.￥142￥,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土(￥147￥.22)+￥607￥mm砌块+￥595￥mm红砖(￥137￥.16),,正常观测,合格,于￥135￥.￥134￥闭墙加固后正常观测
HX001-SEAL012,HX001-G025,5-2,107,￥496￥运输巷3#联巷,5-2煤层,隔断￥2￥运输巷与￥496￥运输巷,￥147￥.￥66￥￥135￥.￥134￥,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土(￥147￥.22)+￥607￥mm砌块+￥595￥mm红砖(￥135￥.16),,正常观测,合格,于￥135￥.￥134￥闭墙加固后正常观测
HX001-SEAL013,HX001-G025,5-2,57,￥496￥运输巷4#联巷,5-2煤层,隔断￥2￥运输巷与￥496￥运输巷,￥135￥.￥134￥,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土(￥147￥.26)+￥607￥mm砌块+￥595￥mm红砖(￥135￥.16),,正常观测,合格,于￥135￥.￥134￥闭墙加固后正常观测
HX001-SEAL014,HX001-G025,5-2,88,￥496￥运输巷5#联巷,5-2煤层,隔断￥2￥运输巷与￥496￥运输巷,￥135￥.￥134￥,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土(￥147￥.26)+￥607￥mm砌块+￥595￥mm红砖(￥135￥.16),,正常观测,合格,于￥135￥.￥134￥闭墙加固后正常观测
HX001-SEAL015,HX001-G025,5-2,5,￥496￥运输巷6#联巷,5-2煤层,隔断￥2￥运输巷与￥496￥运输巷,￥135￥.￥75￥,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土(￥147￥.18)+￥607￥mm砌块+￥595￥mm红砖(￥135￥.27),,正常观测,合格,于￥135￥.￥75￥闭墙加固后正常观测
HX001-SEAL016,HX001-G025,5-2,66,￥496￥运输巷7#联巷,5-2煤层,隔断￥2￥运输巷与￥496￥运输巷,￥135￥.￥85￥,,￥596￥mm红砖墙+￥597￥mm黄土+￥596￥mm红砖墙+￥596￥mm混凝土(￥147￥.26)+￥607￥mm砌块+￥595￥mm红砖(￥135￥.28),,正常观测,合格,于￥135￥.￥85￥闭墙加固后正常观测
