fire_id,goaf_id,has_fire,spontaneous_combustion_tendency,shortest_fire_period,shortest_fire_period_unit,fire_status,temperature,temperature_unit,fire_prevention_measures,remarks
HX001-FIRE001,HX001-G001,否,易自燃,,,无自燃现象,,,束管监测系统,3-1煤层-经气体分析未发现CO和乙烯升高-未发生自燃现象
HX001-FIRE002,HX001-G002,否,易自燃,,,无自燃现象,,,束管监测系统,3-1煤层-经气体分析未发现CO和乙烯升高-未发生自燃现象
HX001-FIRE003,HX001-G003,否,易自燃,,,无自燃现象,,,束管监测系统,3-1煤层-经气体分析未发现CO和乙烯升高-未发生自燃现象
HX001-FIRE004,HX001-G004,否,易自燃,,,无自燃现象,,,束管监测系统,3-1煤层-经气体分析未发现CO和乙烯升高-未发生自燃现象
HX001-FIRE005,HX001-G005,否,易自燃,,,无自燃现象,,,束管监测系统,3-1煤层-经气体分析未发现CO和乙烯升高-未发生自燃现象
HX001-FIRE006,HX001-G006,否,易自燃,,,无自燃现象,,,束管监测系统,3-1煤层-经气体分析未发现CO和乙烯升高-未发生自燃现象
HX001-FIRE007,HX001-G007,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象-密闭墙用途为观测自然发火情况
HX001-FIRE008,HX001-G008,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE009,HX001-G009,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE010,HX001-G010,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE011,HX001-G011,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE012,HX001-G012,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE013,HX001-G013,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE014,HX001-G014,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE015,HX001-G015,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE016,HX001-G016,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE017,HX001-G017,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-3煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE018,HX001-G018,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-3煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE019,HX001-G019,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-3煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE020,HX001-G020,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-3煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE021,HX001-G021,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,4-3煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE022,HX001-G022,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,5-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE023,HX001-G023,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,5-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE024,HX001-G024,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,5-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE025,HX001-G025,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,5-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象
HX001-FIRE026,HX001-G026,否,易自燃,,,无自燃现象,,,密闭墙观测+束管监测系统,5-2煤层-密闭墙气检测均未发现CO、乙烯和温度升高-未发生自燃现象-采空密闭内存在CO₂气体积聚

