mine_id,mine_name,goaf_id,goaf_name,coal_seam,mining_method,goaf_area,area_unit,mining_thickness,burial_depth,mining_start_time,mining_end_time,recovery_rate,roof_control_method,pillar_setting,water_recharge_source,is_adjacent_mine,relationship,distance
HX001,河西联办煤矿,HX001-G001,采空1,3-1,房柱式,￥298￥,km2,￥673￥,,￥678￥前,,,,,,,,
HX001,河西联办煤矿,HX001-G002,采空2,3-1,房柱式,￥282￥,km2,￥673￥,,￥678￥前,,,,,,,,
HX001,河西联办煤矿,HX001-G003,采空3,3-1,房柱式,￥679￥,km2,￥673￥,,￥678￥前,,,,,,,,
HX001,河西联办煤矿,HX001-G004,采空4,3-1,房柱式,￥677￥,km2,￥673￥,,1986,2007,,,,,,,
HX001,河西联办煤矿,HX001-G005,采空5,3-1,房柱式,￥676￥,km2,￥673￥,,1986,2007,,,,,,,
HX001,河西联办煤矿,HX001-G006,采空6,3-1,房柱式,￥674￥,km2,￥673￥,,2005,2007,,,,,,,
HX001,河西联办煤矿,HX001-G007,￥665￥,4-2,长壁式,￥664￥,km2,￥659￥,,2015,2018,,,,,,,
HX001,河西联办煤矿,HX001-G008,￥661￥,4-2,长壁式,￥660￥,km2,￥659￥,,￥93￥,,,,,,,,
HX001,河西联办煤矿,HX001-G009,4-2东翼大巷,4月2日,长壁式,￥658￥,km2,￥657￥,,￥93￥,,,,,,,,
HX001,河西联办煤矿,HX001-G010,￥656￥,4-2,综采,￥655￥,km2,￥13￥,,￥36￥,,,,,,,,
HX001,河西联办煤矿,HX001-G011,￥654￥,4-2,房柱式,￥653￥,km2,￥13￥,,￥46￥,,,,,,,,
HX001,河西联办煤矿,HX001-G012,￥22￥,4-2,房柱式,￥652￥,km2,￥13￥,,￥47￥,,,,,,,,
HX001,河西联办煤矿,HX001-G013,条带1,4-2,条带式,￥651￥,km2,,,￥45￥,,,,,,,,
HX001,河西联办煤矿,HX001-G014,条带2,4-2,条带式,￥650￥,km2,,,￥45￥,,,,,,,,
HX001,河西联办煤矿,HX001-G015,条带3,4-2,条带式,￥173￥,km2,,,￥45￥,,,,,,,,
HX001,河西联办煤矿,HX001-G016,条带4,4-2,条带式,￥156￥,km2,,,￥45￥,,,,,,,,
HX001,河西联办煤矿,HX001-G017,￥40￥,4-3,长壁式,￥646￥,km2,￥643￥,,2019,2020,,,,,,,
HX001,河西联办煤矿,HX001-G018,￥39￥,4-3,长壁式,￥645￥,km2,￥643￥,,2020.12,2021.01,,,,,,,
HX001,河西联办煤矿,HX001-G019,￥38￥,4-3,长壁式,￥644￥,km2,￥643￥,,2020,2021,,,,,,,
HX001,河西联办煤矿,HX001-G020,￥37￥,4-3,长壁式,￥642￥,km2,￥641￥,,2021.08,2022.01,,,,,,,
HX001,河西联办煤矿,HX001-G021,4-3东翼大巷,4-3,长壁式,￥639￥,km2,￥638￥,,2023.02,2023.05,,,,,,,
HX001,河西联办煤矿,HX001-G022,房柱式采空区1,5-2,房柱式,￥619￥,km2,,￥611￥～￥610￥,￥33￥,,,,,,,,
HX001,河西联办煤矿,HX001-G023,房柱式采空区2,5-2,房柱式,￥618￥,km2,,￥611￥～￥610￥,￥33￥,,,,,,,,
HX001,河西联办煤矿,HX001-G024,￥16￥,5-2,综采,￥617￥,km2,￥616￥,￥611￥～￥610￥,2023,2024.05,,,5-2煤顶板砂岩含水层,,,,
HX001,河西联办煤矿,HX001-G025,￥2￥,5-2,综采,￥615￥,km2,￥614￥,￥611￥～￥610￥,2024.06,2024.1,,,,,,,
HX001,河西联办煤矿,HX001-G026,￥26￥,5-2,综采,￥613￥,km2,￥612￥,￥611￥～￥610￥,￥135￥,,,,,,,,
NTT001,柠条塔煤矿,NTT001-G001,南翼下方3-1煤采空区,3-1,,￥132￥,万m2,,,,,,,保护煤柱,,是,越界开采,
YWH001,阴湾煤矿,YWH001-G001,3-1煤采空区,3-1,房柱式炮采,￥127￥,m2,,,￥128￥年,￥46￥年￥29￥月,,,,,是,巷道联通,
YWH001,阴湾煤矿,YWH001-G002,￥16￥工作面,5-2,长壁综合机械化,面宽￥124￥m/长￥123￥m,,￥4￥,,￥125￥年￥21￥月,,,全部垮落法,,,是,相邻,94m
