gas_id,goaf_id,coal_seam,monitoring_point,gas_type,gas_concentration,concentration_unit,monitoring_equipment,monitoring_method,monitoring_date,seal_status,remarks
HX001-GAS001,,3-1,HXSD1钻孔,O₂,￥594￥,%,,钻孔抽气分析,2024,未封闭,3-1煤层-未发现CO和乙烯升高-未发生自燃
HX001-GAS002,,3-1,HXSD1钻孔,N₂,￥593￥,%,,钻孔抽气分析,2024,未封闭,3-1煤层
HX001-GAS003,,3-1,HXSD1钻孔,CO,￥592￥,%,,钻孔抽气分析,2024,未封闭,3-1煤层
HX001-GAS004,,3-1,HXSD1钻孔,CO₂,￥591￥,%,,钻孔抽气分析,2024,未封闭,3-1煤层
HX001-GAS005,,3-1,HXSD1钻孔,CH₄,￥590￥,%,,钻孔抽气分析,2024,未封闭,3-1煤层
HX001-GAS006,,4-2,HXSD2钻孔,O₂,￥588￥,%,,钻孔抽气分析,￥17￥年,已封闭,4-2煤层-未发现CO、乙烯和温度升高-未发生自燃
HX001-GAS007,,4-2,HXSD2钻孔,N₂,￥587￥,%,,钻孔抽气分析,￥17￥年,已封闭,4-2煤层
HX001-GAS008,,4-2,HXSD2钻孔,CO,￥586￥,%,,钻孔抽气分析,￥17￥年,已封闭,4-2煤层
HX001-GAS009,,4-2,HXSD2钻孔,CO₂,￥585￥,%,,钻孔抽气分析,￥17￥年,已封闭,4-2煤层
HX001-GAS010,,4-2,HXSD2钻孔,CH₄,￥584￥,%,,钻孔抽气分析,￥17￥年,已封闭,4-2煤层
HX001-GAS011,,5-2,￥16￥回风巷,O₂,￥551￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层-未发现CO、乙烯和温度升高-未发生自燃
HX001-GAS012,,5-2,￥16￥回风巷,N₂,￥550￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS013,,5-2,￥16￥回风巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS014,,5-2,￥16￥回风巷,CO₂,￥549￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS015,,5-2,￥16￥回风巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS016,,5-2,￥16￥运输巷,O₂,￥548￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS017,,5-2,￥16￥运输巷,N₂,￥547￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS018,,5-2,￥16￥运输巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
